State,nextUnsheltered,overall,unsheltered,population
AK,273,2016,309,735139
AL,1191,3434,1010,4887681
AR,1415,2712,1257,3009733
AZ,4532,9865,4066,7158024
CA,108432,129972,89543,39461588
CO,2188,10857,4329,5691287
CT,456,3976,581,3571520
DC,608,6904,600,701547
DE,95,1082,93,965479
FL,12476,31030,13393,21244317
GA,3880,9499,3599,10511131
GU,764,854,727,165768
HI,3640,6530,3475,1420593
IA,188,2749,241,3148618
ID,985,2012,723,1750536
IL,1889,10643,1942,12723071
IN,642,5258,579,6695497
KS,475,2216,357,2911359
KY,779,3688,868,4461153
LA,974,3059,1065,4659690
MA,829,20068,985,6882635
MD,1348,7144,1764,6035802
ME,95,2516,98,1339057
MI,662,8351,899,9984072
MN,1653,7243,1121,5606249
MO,976,5883,1214,6121623
MS,486,1352,621,2981020
MT,345,1405,373,1060665
NC,2268,9268,2450,10381615
ND,12,542,48,758080
NE,110,2421,144,1925614
NH,149,1450,154,1353465
NJ,1482,9398,1623,8886025
NM,1259,2551,796,2092741
NV,3807,7544,4239,3027341
NY,4047,91897,4294,19530351
OH,1507,10249,1315,11676341
OK,1237,3871,1191,3940235
OR,10142,14476,8925,4181886
PA,1630,13512,1744,12800922
PR,1900,3182,2512,3193354
RI,71,1101,51,1058287
SC,1717,3933,1344,5084156
SD,234,1159,285,878698
TN,2598,7883,2855,6771631
TX,11222,25310,10534,28628666
UT,408,2876,420,3153550
VA,859,5975,915,8501286
VI,232,486,307,104680
VT,114,1291,82,624358
WA,9557,22304,10621,7523869
WI,295,4907,382,5807406
WV,248,1243,183,1804291
WY,125,639,199,577601
AK,309,1845,294,739700
AL,1010,3793,1137,4874486
AR,1257,2467,1194,3001345
AZ,4066,8947,3166,7044008
CA,89543,131532,88896,39358497
CO,4329,10940,3859,5611885
CT,581,3388,416,3573297
DC,600,7473,897,694906
DE,93,994,58,956823
FL,13393,32190,15079,20963613
GA,3599,10174,3523,10410330
GU,727,852,765,164281
HI,3475,7220,3800,1424393
IA,241,2756,104,3141550
ID,723,2037,639,1717715
IL,1942,10798,2257,12778828
IN,579,5438,569,6658078
KS,357,2287,345,2908718
KY,868,4025,727,4452268
LA,1065,3305,975,4670560
MA,985,17565,991,6859789
MD,1764,7247,1736,6023868
ME,98,2280,180,1334612
MI,899,9051,1023,9973114
MN,1121,7668,1108,5566230
MO,1214,6037,1152,6106670
MS,621,1472,719,2988510
MT,373,1529,544,1052482
NC,2450,8962,2451,10268233
ND,48,1089,331,754942
NE,144,2501,120,1915947
NH,154,1456,174,1348787
NJ,1623,8536,1414,8885525
NM,796,2482,796,2091784
NV,4239,7833,4578,2969905
NY,4294,89503,4555,19589572
OH,1315,10095,1309,11659650
OK,1191,4199,1115,3931316
OR,8925,13953,7967,4143625
PA,1744,14138,1798,12787641
PR,2512,3525,2512,3325286
RI,51,1180,69,1055673
SC,1344,3916,1501,5021268
SD,285,943,171,872868
TN,2855,8309,2765,6708799
TX,10534,23548,8493,28295273
UT,420,2852,278,3101042
VA,915,6067,1008,8463587
VI,307,381,307,104751
VT,82,1225,134,624344
WA,10621,21112,8591,7423362
WI,382,5027,340,5790186
WV,183,1309,188,1817004
WY,199,873,363,578931
AK,294,1940,442,741456
AL,1137,4111,1218,4863525
AR,1194,2463,847,2989918
AZ,3166,9707,3244,6941072
CA,88896,118142,78390,39167117
CO,3859,10550,2939,5539215
CT,416,3902,673,3578141
DC,897,8350,318,685815
DE,58,1070,51,948921
FL,15079,33559,15361,20613477
GA,3523,12909,5366,10301890
GU,765,1085,973,162951
HI,3800,7921,4308,1427559
IA,104,3064,143,3131371
ID,639,2247,738,1682380
IL,2257,11590,1854,12820527
IN,569,5798,691,6634304
KS,345,2255,282,2910844
KY,727,4237,706,4438182
LA,975,3994,1141,4678135
MA,991,19608,760,6823608
MD,1736,7689,1528,6003323
ME,180,2241,120,1331317
MI,1023,9316,960,9950571
MN,1108,7341,889,5522744
MO,1152,6194,1216,6087135
MS,719,1738,849,2987938
MT,544,1418,630,1040859
NC,2451,9559,2309,10154788
ND,331,923,216,754434
NE,120,2754,101,1905616
NH,174,1366,143,1342307
NJ,1414,8895,1434,8870827
NM,796,2263,454,2091630
NV,4578,7398,3927,2917563
NY,4555,86352,3591,19633428
OH,1309,10404,1138,11634370
OK,1115,4107,1020,3926331
OR,7967,13238,8002,4089976
PA,1798,15339,1675,12782275
PR,2512,4418,3097,3406672
RI,69,1160,37,1056770
SC,1501,5051,1690,4957968
SD,171,1072,185,862996
TN,2765,8779,3006,6646010
TX,8493,23122,6908,27914410
UT,278,2807,236,3041868
VA,1008,6268,766,8410106
VI,307,341,252,104835
VT,134,1117,156,623657
WA,8591,20827,8466,7294771
WI,340,5685,410,5772628
WV,188,1387,135,1831023
WY,363,857,366,584215
AK,442,1956,317,737498
AL,1218,3970,1027,4852347
AR,847,2560,882,2978048
AZ,3244,9896,2957,6829676
CA,78390,115738,73699,38918045
CO,2939,9953,2819,5450623
CT,673,4047,626,3587122
DC,318,7298,544,675400
DE,51,953,37,941252
FL,15361,35900,17017,20209042
GA,5366,13790,5803,10178447
GU,973,1280,1193,161853
HI,4308,7620,3843,1422052
IA,143,3081,203,3120960
ID,738,1966,469,1651059
IL,1854,13177,2714,12858913
IN,691,5863,583,6608422
KS,282,2588,305,2909011
KY,706,4538,742,4425976
LA,1141,4081,1191,4664628
MA,760,21135,593,6794228
MD,1528,8390,1796,5985562
ME,120,2372,59,1328262
MI,960,10516,1072,9931715
MN,889,7546,841,5482032
MO,1216,6482,1071,6071732
MS,849,1983,842,2988471
MT,630,1709,872,1030475
NC,2309,10685,2425,10031646
ND,216,1305,486,754066
NE,101,2744,123,1891277
NH,143,1445,132,1336350
NJ,1434,10098,974,8867949
NM,454,2629,454,2089291
NV,3927,8743,4215,2866939
NY,3591,88250,4022,19654666
OH,1138,11182,1099,11617527
OK,1020,3777,778,3909500
OR,8002,13226,7395,4015792
PA,1675,15421,1428,12784826
PR,3097,4518,3097,3473232
RI,37,1111,36,1056065
SC,1690,5354,1896,4891938
SD,185,1036,136,853988
TN,3006,9123,3244,6591170
TX,6908,23678,7486,27470056
UT,236,3025,226,2981835
VA,766,7001,811,8361808
VI,252,337,252,104958
VT,156,1523,150,625216
WA,8466,19419,7121,7163657
WI,410,6057,442,5760940
WV,135,1835,432,1842050
WY,366,798,291,585613
AK,317,1784,145,736283
AL,1027,4561,1043,4841799
AR,882,2936,1433,2967392
AZ,2957,10495,2569,6730413
CA,73699,113952,71437,38596972
CO,2819,10028,1945,5350101
CT,626,4450,919,3594524
DC,544,7748,396,662328
DE,37,901,37,932487
FL,17017,41542,21691,19845911
GA,5803,16521,8307,10067278
GU,1193,1356,1230,161020
HI,3843,6918,3105,1414538
IA,203,3122,196,3109350
ID,469,2104,636,1631112
IL,2714,13107,1698,12884493
IN,583,5971,403,6593644
KS,305,2783,249,2900475
KY,742,5089,831,4414349
LA,1191,4606,1103,4644013
MA,593,21237,759,6762596
MD,1796,7856,1589,5957283
ME,59,2726,93,1330513
MI,1072,12227,2152,9929848
MN,841,8377,795,5451079
MO,1071,7282,973,6056202
MS,842,2226,821,2990468
MT,872,1745,834,1021869
NC,2425,11491,2617,9932887
ND,486,1258,464,737401
NE,123,3026,109,1879321
NH,132,1376,133,1333341
NJ,974,11671,935,8864525
NM,454,2746,428,2089568
NV,4215,8582,3785,2817628
NY,4022,80590,4103,19651049
OH,1099,11823,1103,11602700
OK,778,4191,932,3878187
OR,7395,12164,6063,3963244
PA,1428,15333,1032,12788313
PR,3097,4132,2726,3534874
RI,36,1190,20,1055936
SC,1896,5057,1808,4823617
SD,136,885,55,849129
TN,3244,9415,3032,6541223
TX,7486,28495,10267,26964333
UT,226,3081,313,2936879
VA,811,7020,690,8310993
VI,252,448,363,105110
VT,150,1559,163,625214
WA,7121,18442,5902,7054655
WI,442,6055,343,5751525
WV,432,2013,430,1849489
WY,291,757,194,582531
AK,145,1946,205,737068
AL,1043,4689,1443,4830081
AR,1433,3812,2148,2959400
AZ,2569,10562,3131,6632764
CA,71437,118552,72998,38260787
CO,1945,9754,2163,5269035
CT,919,4448,919,3594841
DC,396,6865,512,650581
DE,37,946,10,923576
FL,21691,47862,28192,19545621
GA,8307,16971,8461,9972479
GU,1230,1271,1143,160410
HI,3105,6335,2590,1408243
IA,196,3084,134,3092997
ID,636,1781,377,1611206
IL,1698,13425,2196,12895129
IN,403,6096,700,6568713
KS,249,2693,311,2893212
KY,831,5245,754,4404659
LA,1103,5226,1575,4624527
MA,759,19029,850,6713315
MD,1589,8205,1922,5923188
ME,93,3016,62,1328009
MI,2152,11527,2188,9913065
MN,795,8214,915,5413479
MO,973,8581,2080,6040715
MS,821,2403,1320,2988711
MT,834,1878,784,1013569
NC,2617,12168,3155,9843336
ND,464,2069,1395,722036
NE,109,3145,173,1865279
NH,133,1447,202,1326622
NJ,935,12002,1399,8856972
NM,428,2819,428,2092273
NV,3785,7039,3341,2775970
NY,4103,77430,4157,19624447
OH,1103,12325,1338,11576684
OK,932,4408,1146,3853214
OR,6063,13822,7390,3922468
PA,1032,15086,1359,12776309
PR,2726,4128,2726,3593077
RI,20,1384,117,1055081
SC,1808,6544,3133,4764080
SD,55,1094,339,842316
TN,3032,9528,3207,6494340
TX,10267,29615,12090,26480266
UT,313,3277,418,2897640
VA,690,7625,1022,8252427
VI,363,482,363,105300
VT,163,1454,184,626210
WA,5902,17760,5053,6963985
WI,343,6104,368,5736754
WV,430,2240,628,1853914
WY,194,953,452,582122
AK,205,1913,197,730443
AL,1443,5209,1545,4815588
AR,2148,4214,2612,2952164
AZ,3131,11302,3087,6554978
CA,72998,120098,74208,37948800
CO,2163,16768,9508,5192647
CT,919,4209,695,3594547
DC,512,6954,679,634924
DE,10,1008,22,915179
FL,28192,55170,35338,19297822
GA,8461,20516,12196,9901430
GU,1143,1301,1114,160000
HI,2590,6246,2520,1394804
IA,134,2928,148,3076190
ID,377,1968,486,1595324
IL,2196,14144,2995,12882510
IN,700,6259,889,6537703
KS,311,2684,334,2885257
KY,754,5230,911,4386346
LA,1575,7772,3965,4600972
MA,850,17501,722,6663005
MD,1922,9454,3512,5886992
ME,62,2393,33,1327729
MI,2188,12592,2322,9897145
MN,915,7744,990,5376643
MO,2080,10237,2344,6024367
MS,1320,2413,1371,2983816
MT,784,1833,680,1003783
NC,3155,13524,4715,9749476
ND,1395,688,53,701176
NE,173,3789,832,1853303
NH,202,1496,167,1324232
NJ,1399,13025,1596,8844942
NM,428,3245,848,2087309
NV,3341,8497,4527,2743996
NY,4157,69566,4084,19572932
OH,1338,13977,1731,11548923
OK,1146,5032,1989,3818814
OR,7390,15828,9283,3899001
PA,1359,14736,1076,12767118
PR,2726,3212,1866,3634488
RI,117,1277,28,1054621
SC,3133,4915,2139,4717354
SD,339,859,64,833566
TN,3207,9426,3648,6453898
TX,12090,34052,16551,26084481
UT,418,3527,475,2853375
VA,1022,8424,1429,8185080
VI,363,484,378,105530
VT,184,1160,223,626090
WA,5053,20504,5477,6897058
WI,368,6027,581,5719960
WV,628,2410,877,1856872
WY,452,1813,1338,576305
AK,197,2128,368,722128
AL,1545,5558,1809,4799069
AR,2612,3424,1622,2940667
AZ,3087,10504,3202,6472643
CA,74208,125128,74437,37638369
CO,9508,15116,8970,5121108
CT,695,4456,695,3588283
DC,679,6546,305,619800
DE,22,1035,22,907381
FL,35338,56687,35863,19053237
GA,12196,20975,12252,9802431
GU,1114,1745,1541,159690
HI,2520,6188,2556,1379329
IA,148,3134,121,3066336
ID,486,2199,614,1583910
IL,2995,14009,2920,12867454
IN,889,6196,646,6516528
KS,334,2511,289,2869225
KY,911,6034,851,4369821
LA,3965,9291,5886,4575625
MA,722,16664,703,6613583
MD,3512,10208,3712,5839419
ME,33,2447,29,1328284
MI,2322,13185,2321,9882412
MN,990,7495,928,5346143
MO,2344,8989,2271,6010275
MS,1371,2306,1250,2978731
MT,680,1768,552,997316
NC,4715,12896,3651,9657592
ND,53,603,43,685225
NE,832,3548,507,1840672
NH,167,1469,310,1320202
NJ,1596,14137,1307,8828117
NM,848,3601,848,2080450
NV,4527,9150,4605,2712730
NY,4084,63445,3667,19499241
OH,1731,13030,1806,11544663
OK,1989,4625,1637,3788379
OR,9283,17254,10242,3872036
PA,1076,15096,1060,12745815
PR,1866,2900,1866,3678732
RI,28,1070,31,1053649
SC,2139,5093,2139,4671994
SD,64,826,64,823579
TN,3648,9113,3198,6399291
TX,16551,36911,17939,25645629
UT,475,3130,443,2814384
VA,1429,8816,1430,8101155
VI,378,532,378,105790
VT,223,1144,123,627049
WA,5477,20439,5364,6826627
WI,581,5785,430,5705288
WV,877,2211,806,1856301
WY,1338,1038,843,567299
AK,368,1863,192,713910
AL,1809,6046,2155,4785437
AR,1622,2762,1034,2921964
AZ,3202,13711,6497,6407172
CA,74437,123480,72581,37319502
CO,8970,15482,6451,5047349
CT,695,4316,499,3579114
DC,305,6539,430,605226
DE,22,982,52,899593
FL,35863,57551,35734,18845537
GA,12252,19836,11090,9711881
GU,1541,1635,1453,159444
HI,2556,5834,2299,1363963
IA,121,3014,111,3050745
ID,614,2346,782,1570746
IL,2920,14395,2187,12840503
IN,646,6452,1219,6490432
KS,289,2024,196,2858190
KY,851,6623,1024,4348181
LA,5886,12482,8386,4544532
MA,703,16646,1051,6566307
MD,3712,10845,4330,5788645
ME,29,2379,28,1327629
MI,2321,13058,2839,9877510
MN,928,7869,1139,5310828
MO,2271,8122,1786,5995974
MS,1250,2743,1562,2970548
MT,552,1615,447,990697
NC,3651,12191,3018,9574323
ND,43,799,31,674715
NE,507,3877,522,1829542
NH,310,1574,237,1316762
NJ,1307,13737,1654,8799446
NM,848,3475,1367,2064552
NV,4605,11205,3357,2702405
NY,3667,65606,4139,19399878
OH,1806,12569,1840,11539336
OK,1637,5229,1914,3759944
OR,10242,19492,12261,3837491
PA,1060,14516,1098,12711160
PR,1866,4149,2745,3721525
RI,31,1282,76,1053959
SC,2139,4473,1437,4635649
SD,64,731,64,816166
TN,3198,10276,3277,6355311
TX,17939,35121,15930,25241971
UT,443,3284,562,2775332
VA,1430,9080,1641,8023699
VI,378,487,395,106087
VT,123,1220,142,625879
WA,5364,22878,6389,6742830
WI,430,6333,1080,5690475
WV,806,2264,740,1854239
WY,843,579,64,564487
AK,192,1992,327,698895
AL,2155,6080,2167,4757938
AR,1034,2852,1122,2896843
AZ,6497,14721,6355,6343154
CA,72581,123678,72901,36961229
CO,6451,15268,6237,4972195
CT,499,4605,502,3561807
DC,430,6228,321,592228
DE,52,1130,47,891730
FL,35734,55599,33732,18652644
GA,11090,20360,10941,9620846
GU,1453,1088,906,159230
HI,2299,5782,2514,1346717
IA,111,3380,159,3032870
ID,782,1939,462,1554439
IL,2187,14055,2204,12796778
IN,1219,6984,1778,6459325
KS,196,1892,196,2832704
KY,1024,5999,700,4317074
LA,8386,12504,8386,4491648
MA,1051,15482,1006,6517613
MD,4330,11698,4252,5730388
ME,28,2444,38,1329590
MI,2839,14005,2707,9901591
MN,1139,7718,946,5281203
MO,1786,6959,1490,5961088
MS,1562,2797,1576,2958774
MT,447,1196,363,983982
NC,3018,12918,4445,9449566
ND,31,773,8,664968
NE,522,3718,639,1812683
NH,237,1645,239,1316102
NJ,1654,13169,1298,8755602
NM,1367,3475,1367,2036802
NV,3357,11089,3297,2684665
NY,4139,61067,3613,19307066
OH,1840,12700,1771,11528896
OK,1914,4838,1531,3717572
OR,12261,17309,9867,3808600
PA,1098,15096,1277,12666858
PR,2745,4070,2745,3740410
RI,76,1607,51,1053646
SC,1437,4473,1437,4589872
SD,64,731,64,807067
TN,3277,10532,3399,6306019
TX,15930,36761,15103,24801761
UT,562,3795,255,2723421
VA,1641,8852,1568,7925937
VI,395,471,395,106412
VT,142,1214,157,624817
WA,6389,22782,6545,6667426
WI,1080,6525,1060,5669264
WV,740,1667,389,1847775
WY,64,515,64,559851
AK,327,1646,194,687455
AL,2167,5387,1544,4718206
AR,1122,3255,1235,2874554
AZ,6355,12488,5518,6280362
CA,72901,136531,89566,36604337
CO,6237,14747,7870,4889730
CT,502,4627,607,3545579
DC,321,6044,378,580236
DE,47,933,71,883874
FL,33732,50158,29434,18527305
GA,10941,19095,10230,9504843
GU,906,725,622,159040
HI,2514,6061,3358,1332213
IA,159,3346,259,3016734
ID,462,1464,214,1534320
IL,2204,14724,3244,12747038
IN,1778,7395,1472,6424806
KS,196,1738,238,2808076
KY,700,8137,1942,4289878
LA,8386,5481,1781,4435586
MA,1006,14506,1069,6468967
MD,4252,9219,3165,5684965
ME,38,2632,44,1330509
MI,2707,28248,16467,9946889
MN,946,7644,1374,5247018
MO,1490,7687,2080,5923916
MS,1576,1961,755,2947806
MT,363,1417,410,976415
NC,4445,12411,4386,9309449
ND,8,615,19,657569
NE,639,3985,758,1796378
NH,239,2019,484,1315906
NJ,1298,13832,1972,8711090
NM,1367,3015,1267,2010662
NV,3297,8726,3863,2653630
NY,3613,61125,4609,19212436
OH,1771,12912,2535,11515391
OK,1531,3846,1043,3668976
OR,9867,20653,10707,3768748
PA,1277,15378,1299,12612285
PR,2745,3012,2202,3760866
RI,51,1196,54,1055003
SC,1437,5660,2574,4528996
SD,64,579,41,799124
TN,3399,9705,4045,6247411
TX,15103,40190,16110,24309039
UT,255,3434,256,2663029
VA,1568,8469,1574,7833496
VI,395,602,487,106756
VT,157,954,258,624151
WA,6545,21954,6498,6562231
WI,1060,5449,515,5640996
WV,389,2016,594,1840310
WY,64,751,132,546043
AK,194,1642,255,680300
AL,1544,5452,1656,4672840
AR,1235,3836,1551,2848650
AZ,5518,14646,6028,6167681
CA,89566,138986,90475,36250311
CO,7870,14225,7254,4803868
CT,607,4482,811,3527270
DC,378,5320,340,574404
DE,71,1061,207,871749
FL,29434,48069,27540,18367842
GA,10230,19639,11298,9349988
GU,622,725,622,158850
HI,3358,6070,3358,1315675
IA,259,2734,293,2999212
ID,214,1749,624,1505105
IL,3244,15487,3316,12695866
IN,1472,7358,1262,6379599
KS,238,2111,282,2783785
KY,1942,8061,2121,4256672
LA,1781,5494,1577,4375581
MA,1069,15127,1414,6431559
MD,3165,9628,3210,5653408
ME,44,2638,62,1327040
MI,16467,28295,16743,10001284
MN,1374,7323,1445,5207203
MO,2080,6247,1110,5887612
MS,755,1377,526,2928350
MT,410,1150,295,964706
NC,4386,11802,3923,9118037
ND,19,636,59,652822
NE,758,3531,524,1783440
NH,484,2248,975,1312540
NJ,1972,17314,2478,8677885
NM,1267,3015,1267,1990070
NV,3863,8642,3824,2601072
NY,4609,62601,5320,19132335
OH,2535,11264,1884,11500468
OK,1043,4221,1132,3634349
OR,10707,17590,9261,3722417
PA,1299,16220,1479,12563937
PR,2202,4309,2941,3782995
RI,54,1372,49,1057315
SC,2574,5660,2574,4444110
SD,41,579,41,791623
TN,4045,11210,4764,6175727
TX,16110,39788,16906,23831983
UT,256,3011,313,2597746
VA,1574,9746,2179,7751000
VI,487,559,487,107115
VT,258,1035,315,623481
WA,6498,23379,6522,6461587
WI,515,5648,563,5610775
WV,594,2409,262,1834052
WY,132,537,140,534876